siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-27 06:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-27 06:00",2
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-27 06:00",7
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-27 06:00",4
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-27 06:00",0.1
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-27 06:00",0.6
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-27 05:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-27 05:00",2
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-27 05:00",10
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-27 05:00",3
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-27 05:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-27 05:00",0.7
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-27 04:00",6
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-27 04:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-27 04:00",14
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-27 04:00",3
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-27 04:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-27 04:00",0.7
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-27 03:00",2
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-27 03:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-27 03:00",8
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-27 03:00",3
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-27 03:00",0.07
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-27 03:00",0.7
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-27 02:00",0
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-27 02:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-27 02:00",10
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-27 02:00",4
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-27 02:00",0.07
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-27 02:00",0.6
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-27 01:00",1
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-27 01:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-27 01:00",13
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-27 01:00",4
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-27 01:00",0.07
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-27 01:00",0.7
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-27 00:00",2
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-27 00:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-27 00:00",7
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-27 00:00",6
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-27 00:00",0.07
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-27 00:00",0.1
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 23:00",3
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 23:00",2
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 23:00",11
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 23:00",6
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 23:00",0.09
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 23:00",0.2
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 22:00",6
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 22:00",2
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 22:00",13
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 22:00",7
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 22:00",0.09
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 22:00",0.3
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 21:00",7
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 21:00",2
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 21:00",9
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 21:00",8
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 21:00",0.1
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 21:00",0.2
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 20:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 20:00",2
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 20:00",15
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 20:00",11
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 20:00",0.1
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 20:00",0.2
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 20:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 20:00",2
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 20:00",15
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 20:00",11
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 20:00",0.1
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 20:00",0.2
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 19:00",5
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 19:00",4
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 19:00",11
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 19:00",5
